"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
738.18201,-8.2471504,3.09957,-24.146601,0.08314348,-0.20714281,-0.029267533
1026.4399,-3.4279499,-4.7993598,-20.9417,0.13585827,-0.2071428,-0.031849738
970.58197,-5.1640701,-4.7016101,-25.0858,0.12576476,-0.2071428,-0.02944026
916.07202,-5.059,-3.24616,-24.9184,0.11567102,-0.20714281,-0.027030781
859.42401,-5.1533298,2.78971,-24.128599,0.10557701,-0.20714281,-0.024621302
802.05902,-5.7896399,5.1196899,-23.9196,0.095482603,-0.20714281,-0.022211824
740.53802,-5.6185598,3.02284,-24.778299,0.085837476,-0.20714283,-0.019906433
1025.91,-1.2487,-4.8795199,-21.363899,0.13850361,-0.2071428,-0.016639784
971.60999,-2.2711699,-4.7690902,-25.657101,0.12819415,-0.2071428,-0.015360885
916.78101,-2.3232701,-3.2363501,-25.390699,0.11788443,-0.2071428,-0.01408199
861.98798,-2.4616399,2.82827,-24.567801,0.10757433,-0.20714281,-0.012803102
804.64899,-3.13639,5.0687399,-24.348801,0.097263724,-0.20714281,-0.01152422
743.09399,-2.94611,2.96523,-25.1203,0.087456122,-0.20714281,-0.010304181
1026.42,0.89851302,-5.0308599,-21.5114,0.13944137,-0.2071428,-0.0012332979
973.211,0.633255,-4.8897901,-25.9778,0.12904568,-0.2071428,-0.0011035345
917.96301,0.35987401,-3.26104,-25.5068,0.11864971,-0.2071428,-0.00097378064
864.90399,0.22903299,2.82932,-24.740299,0.10825337,-0.2071428,-0.00084403879
807.14801,-0.42332599,4.9735699,-24.5221,0.097856529,-0.20714281,-0.00071431318
745.55701,-0.235974,2.9105899,-25.149099,0.088009834,-0.20714281,-0.00058770709
1031.91,2.99772,-5.2396598,-21.230499,0.13871367,-0.20714279,0.014181726
978.72302,3.5417399,-5.0183702,-25.7948,0.12835388,-0.20714279,0.013158107
920.95001,3.0703499,-3.3081601,-25.2554,0.11799388,-0.2071428,0.012134477
867.57202,2.89819,2.7948101,-24.572901,0.10763358,-0.2071428,0.011110835
